#HQF Attribute Mapping Table,,,,,,,,,,
#Affecting Attribute,Affecting Type,Affecting ID,Affected Attribute,Affected Type,Affected ID,Stack Nerf,Per Level,Calc Type,State,Description
# SKILL ATTRIBUTE MAPPING,,,,,,,,,,
# DRONES,,,,,,,,,,
292,1,32339,2133,2,1653,0,1,0,0,Heavy Fighters -  Attack Missile Kinetic Damage
292,1,32339,2134,2,1653,0,1,0,0,Heavy Fighters -  Attack Missile Explosive Damage
292,1,32339,2227,2,1653,0,1,0,0,Heavy Fighters -  Ability EM Damage
292,1,32339,2228,2,1653,0,1,0,0,Heavy Fighters -  Ability Thermal Damage
292,1,32339,2229,2,1653,0,1,0,0,Heavy Fighters -  Ability Kinetic Damage
292,1,32339,2230,2,1653,0,1,0,0,Heavy Fighters -  Ability Explosive Damage
292,1,12486,64,5,12486,0,1,0,0,Gallente Drone Specialization
292,1,3441,64,4,839,0,1,0,0,Heavy Drone Operation
292,1,24241,64,4,837,0,1,0,0,Light Drone Operation
292,1,33699,64,4,838,0,1,0,0,Medium Drone Operation
434,1,3438,77,2,101,0,1,0,0,Mining Drone Operation
292,1,12485,64,5,12485,0,1,0,0,Minmatar Drone Specialization
39,1,3439,68,2,640,0,1,0,0,Repair Drone Operation - Shield
39,1,3439,84,2,640,0,1,0,0,Repair Drone Operation - Armor
39,1,3439,83,2,640,0,1,0,0,Repair Drone Operation - Hull
902,1,3440,902,2,1159,0,1,1,0,Salvage Drone Operation
292,1,23594,64,4,911,0,1,0,0,Sentry Drone Interfacing
# ELECTRONICS,,,,,,,,,,
619,1,11579,560,2,330,0,1,0,0,Cloaking
1296,1,21603,714,2,658,0,1,0,0,Cynosural Field Theory
317,1,3427,6,2,80,0,1,0,0,Electronic Warfare - ECM Burst
317,1,3427,6,2,201,0,1,0,0,Electronic Warfare - ECM
424,1,3426,48,3,6,0,1,0,0,Electronics
310,1,3432,50,5,3432,0,1,0,0,Electronics Upgrades
349,1,19760,158,2,201,0,1,0,0,Frequency Modulation - ECM
349,1,19760,158,2,208,0,1,0,0,Frequency Modulation - RSD
349,1,19760,158,2,291,0,1,0,0,Frequency Modulation - TD
349,1,19760,158,2,379,0,1,0,0,Frequency Modulation - TP
294,1,19759,54,2,201,0,1,0,0,Long Distance Jamming - ECM
294,1,19759,142,2,80,0,1,0,0,Long Distance Jamming - ECM Burst
294,1,19759,54,2,208,0,1,0,0,Long Distance Jamming - RSD
294,1,19759,54,2,291,0,1,0,0,Long Distance Jamming - TD
294,1,19759,54,2,379,0,1,0,0,Long Distance Jamming - TP
294,1,19759,54,2,209,0,1,0,0,Long Distance Jamming - Tracking Links
309,1,3428,76,3,6,0,1,0,0,Long Range Targeting
311,1,3430,10064,3,6,0,1,1,0,Multitasking
1193,1,27911,669,2,842,0,1,0,0,Burst Projector Operation
317,1,3435,6,2,52,0,1,0,0,Propulsion Jamming - Warp Scrambler
317,1,3435,6,2,65,0,1,0,0,Propulsion Jamming - Stasis Webifier
317,1,3435,6,2,899,0,1,0,0,Propulsion Jamming - WDFG
1851,1,33000,211,3,6,0,1,0,0,Sensor Compensation - Grav
1851,1,33001,209,3,6,0,1,0,0,Sensor Compensation - Ladar
1851,1,32999,210,3,6,0,1,0,0,Sensor Compensation - Mag
1851,1,33002,208,3,6,0,1,0,0,Sensor Compensation - Radar
317,1,3433,6,2,290,0,1,0,0,Sensor Linking - RSB
317,1,3433,6,2,208,0,1,0,0,Sensor Linking - RSD
317,1,3433,6,2,209,0,1,0,0,Sensor Linking - Tracking Link
828,1,19761,238,2,201,0,1,0,0,Signal Dispersion - Grav ECM
828,1,19761,239,2,201,0,1,0,0,Signal Dispersion - Ladar ECM
828,1,19761,240,2,201,0,1,0,0,Signal Dispersion - Mag ECM
828,1,19761,241,2,201,0,1,0,0,Signal Dispersion - Radar ECM
828,1,19761,238,2,80,0,1,0,0,Signal Dispersion - ECM Burst
828,1,19761,239,2,80,0,1,0,0,Signal Dispersion - ECM Burst
828,1,19761,240,2,80,0,1,0,0,Signal Dispersion - ECM Burst
828,1,19761,241,2,80,0,1,0,0,Signal Dispersion - ECM Burst
828,1,19766,566,2,208,0,1,0,0,Signal Suppression - RSD Resolution
828,1,19766,309,2,208,0,1,0,0,Signal Suppression - RSD Range
566,1,3431,564,3,6,0,1,0,0,Signature Analysis
832,1,19922,554,2,379,0,1,0,0,Signature Focusing
308,1,3551,73,2,47;48;49,0,1,0,0,Survey
66,1,4411,73,2,1154,0,1,0,0,Target Breaker - Duration
317,1,4411,6,2,1154,0,1,0,0,Target Breaker - Cap Use
317,1,19921,6,2,379,0,1,0,0,Target Painting
311,1,3429,10064,3,6,0,1,1,0,Targeting
828,1,19767,767,2,291,0,1,0,0,Turret Destabilization - Tracking Speed
828,1,19767,351,2,291,0,1,0,0,Turret Destabilization - Optimal Range
828,1,19767,349,2,291,0,1,0,0,Turret Destabilization - Falloff
317,1,3434,6,2,291,0,1,0,0,Weapon Disruption
# ENGINEERING,,,,,,,,,,
317,1,24572,6,4,910,0,1,0,0,Capital Energy Emission Systems
317,1,24571,6,4,600,0,1,0,0,Capital Shield Emission Systems
851,1,21802,6,4,778,0,1,0,0,Capital Shield Operation
958,1,12365,984,2,295,0,1,0,0,EM Shield Compensation
317,1,3423,6,4,689,0,1,0,0,Energy Emission Systems - Small Energy Neut
317,1,3423,6,4,690,0,1,0,0,Energy Emission Systems - Medium Energy Neut
317,1,3423,6,4,691,0,1,0,0,Energy Emission Systems - Large Energy Neut
317,1,3423,6,2,67,0,1,0,0,Energy Emission Systems - Energy Transfer Array
310,1,3424,50,5,3424,0,1,0,0,Energy Grid Upgrades
1079,1,3418,482,3,6,0,1,0,0,Energy Management - Capacitor Capacity
#1079,1,3418,67,2,61,0,1,0,0,Energy Management - Capacitor Batteries
66,1,3421,73,2,72,0,1,0,0,Energy Pulse Weapons
314,1,3417,55,3,6,0,1,0,0,Energy Systems Operation
313,1,3413,11,3,6,0,1,0,0,Engineering - Ship
313,1,3413,549,2,339,0,1,0,0,Engineering - MAPC
958,1,12367,985,2,295,0,1,0,0,Explosive Shield Compensation
958,1,12366,986,2,295,0,1,0,0,Kinetic Shield Compensation
851,1,21059,6,4,609;610;611;612,0,1,0,0,Shield Compensation
317,1,3422,6,2,41,0,1,0,0,Shield Emission Systems
337,1,3419,263,3,6,0,1,0,0,Shield Management - Shields
#337,1,3419,72,2,38,0,1,0,0,Shield Management - Shield Extenders
338,1,3416,479,3,6,0,1,0,0,Shield Operation
323,1,3425,30,5,3425,0,1,0,0,Shield Upgrades
336,1,3420,484,3,6,0,1,0,0,Tactical Shield Manipulation
958,1,11566,987,2,295,0,1,0,0,Thermic Shield Compensation
# GUNNERY,,,,,,,,,,
323,1,11207,30,2,53,0,1,0,0,Advanced Weapon Upgrades - Energy
323,1,11207,30,2,74,0,1,0,0,Advanced Weapon Upgrades - Hybrid
323,1,11207,30,2,55,0,1,0,0,Advanced Weapon Upgrades - Projectile
323,1,11207,30,2,511,0,1,0,0,Advanced Weapon Upgrades - Rapid Light
323,1,11207,30,2,1245,0,1,0,0,Advanced Weapon Upgrades - Rapid Heavy
323,1,11207,30,2,862,0,1,0,0,Advanced Weapon Upgrades - Bomb
323,1,11207,30,2,524,0,1,0,0,Advanced Weapon Upgrades - Citadel Torp
323,1,11207,30,2,1674,0,1,0,0,Advanced Weapon Upgrades - Citadel Cruise
323,1,11207,30,2,506,0,1,0,0,Advanced Weapon Upgrades - Cruise
323,1,11207,30,2,510,0,1,0,0,Advanced Weapon Upgrades - Heavy
323,1,11207,30,2,771,0,1,0,0,Advanced Weapon Upgrades - Heavy Assault
323,1,11207,30,2,507,0,1,0,0,Advanced Weapon Upgrades - Rocket
323,1,11207,30,2,508,0,1,0,0,Advanced Weapon Upgrades - Torpedo
323,1,11207,30,2,1673,0,1,0,0,Advanced Weapon Upgrades - Rapid Torpedo
323,1,11207,30,2,509,0,1,0,0,Advanced Weapon Upgrades - Light
292,1,20327,10014,4,773,0,1,0,0,Capital Energy Turret - Beam
292,1,20327,10014,4,774,0,1,0,0,Capital Energy Turret - Pulse
292,1,21666,10015,4,771,0,1,0,0,Capital Hybrid Turret - Blaster
292,1,21666,10015,4,772,0,1,0,0,Capital Hybrid Turret - Railgun
292,1,21667,10016,4,775,0,1,0,0,Capital Projectile Turret - Artillery
292,1,21667,10016,4,776,0,1,0,0,Capital Projectile Turret - Autocannon
317,1,3316,6,2,53,0,1,0,0,Controlled Bursts - Energy
317,1,3316,6,2,74,0,1,0,0,Controlled Bursts - Hybrid
317,1,3316,6,2,55,0,1,0,0,Controlled Bursts - Projectile
441,1,3300,10011,2,53,0,1,0,0,Gunnery - Energy
441,1,3300,10012,2,74,0,1,0,0,Gunnery - Hybrid
441,1,3300,10013,2,55,0,1,0,0,Gunnery - Projectile
292,1,12203,10016,5,12203,0,1,0,0,Large Artillery Specialization
292,1,41404,10016,5,41404,0,1,0,0,Capital Artillery Specialization
292,1,12209,10016,5,12209,0,1,0,0,Large Autocannon Specialization
292,1,41403,10016,5,41403,0,1,0,0,Capital Autocannon Specialization
292,1,12205,10014,5,12205,0,1,0,0,Large Beam Laser Specialization
292,1,41408,10014,5,41408,0,1,0,0,Capital Beam Laser Specialization
292,1,12212,10015,5,12212,0,1,0,0,Large Blaster Specialization
292,1,41405,10015,5,41405,0,1,0,0,Capital Blaster Specialization
292,1,3309,10014,4,569,0,1,0,0,Large Energy Turret - Beam
292,1,3309,10014,4,573,0,1,0,0,Large Energy Turret - Pulse
292,1,3307,10015,4,563,0,1,0,0,Large Hybrid Turret - Blaster
292,1,3307,10015,4,566,0,1,0,0,Large Hybrid Turret - Railgun
292,1,3308,10016,4,576,0,1,0,0,Large Projectile Turret - Artillery
292,1,3308,10016,4,579,0,1,0,0,Large Projectile Turret - Autocannon
292,1,12215,10014,5,12215,0,1,0,0,Large Pulse Laser Specialization
292,1,41407,10014,5,41407,0,1,0,0,Capital Pulse Laser Specialization
292,1,12207,10015,5,12207,0,1,0,0,Large Railgun Specialization
292,1,41406,10015,5,41406,0,1,0,0,Capital Railgun Specialization
292,1,12202,10016,5,12202,0,1,0,0,Medium Artillery Specialization
292,1,12208,10016,5,12208,0,1,0,0,Medium Autocannon Specialization
292,1,12204,10014,5,12204,0,1,0,0,Medium Beam Laser Specialization
292,1,12211,10015,5,12211,0,1,0,0,Medium Blaster Specialization
292,1,3306,10014,4,568,0,1,0,0,Medium Energy Turret - Beam
292,1,3306,10014,4,572,0,1,0,0,Medium Energy Turret - Pulse
292,1,3304,10015,4,562,0,1,0,0,Medium Hybrid Turret - Blaster
292,1,3304,10015,4,565,0,1,0,0,Medium Hybrid Turret - Railgun
292,1,3305,10016,4,578,0,1,0,0,Medium Projectile Turret - Artillery
292,1,3305,10016,4,575,0,1,0,0,Medium Projectile Turret - Autocannon
292,1,12214,10014,5,12214,0,1,0,0,Medium Pulse Laser Specialization
292,1,12206,10015,5,12206,0,1,0,0,Medium Railgun Specialization
767,1,3312,160,2,53,0,1,0,0,Motion Prediction - Energy
767,1,3312,160,2,74,0,1,0,0,Motion Prediction - Hybrid
767,1,3312,160,2,55,0,1,0,0,Motion Prediction - Projectile
293,1,3310,10011,2,53,0,1,0,0,Rapid Firing - Energy
293,1,3310,10012,2,74,0,1,0,0,Rapid Firing - Hybrid
293,1,3310,10013,2,55,0,1,0,0,Rapid Firing - Projectile
294,1,3311,54,2,53,0,1,0,0,Sharpshooter - Energy
294,1,3311,54,2,74,0,1,0,0,Sharpshooter - Hybrid
294,1,3311,54,2,55,0,1,0,0,Sharpshooter - Projectile
292,1,12201,10016,5,12201,0,1,0,0,Small Artillery Specialization
292,1,11084,10016,5,11084,0,1,0,0,Small Autocannon Specialization
292,1,11083,10014,5,11083,0,1,0,0,Small Beam Laser Specialization
292,1,12210,10015,5,12210,0,1,0,0,Small Blaster Specialization
292,1,3303,10014,4,567,0,1,0,0,Small Energy Turret - Beam
292,1,3303,10014,4,570,0,1,0,0,Small Energy Turret - Pulse
292,1,3301,10015,4,561,0,1,0,0,Small Hybrid Turret - Blaster
292,1,3301,10015,4,564,0,1,0,0,Small Hybrid Turret - Railgun
292,1,3302,10016,4,577,0,1,0,0,Small Projectile Turret - Artillery
292,1,3302,10016,4,574,0,1,0,0,Small Projectile Turret - Autocannon
292,1,12213,10014,5,12213,0,1,0,0,Small Pulse Laser Specialization
292,1,11082,10015,5,11082,0,1,0,0,Small Railgun Specialization
292,1,3315,10014,2,53,0,1,0,0,Surgical Strike - Energy
292,1,3315,10015,2,74,0,1,0,0,Surgical Strike - Hybrid
292,1,3315,10016,2,55,0,1,0,0,Surgical Strike - Projectile
885,1,22043,714,1,20280,0,1,8,0,Tactical Weapon Reconfiguration
349,1,3317,158,2,53,0,1,0,0,Trajectory Analysis - Energy
349,1,3317,158,2,74,0,1,0,0,Trajectory Analysis - Hybrid
349,1,3317,158,2,55,0,1,0,0,Trajectory Analysis - Projectile
310,1,3318,50,2,53,0,1,0,0,Weapon Upgrades - Energy
310,1,3318,50,2,74,0,1,0,0,Weapon Upgrades - Hybrid
310,1,3318,50,2,55,0,1,0,0,Weapon Upgrades - Projectile
310,1,3318,50,2,72,0,1,0,0,Weapon Upgrades - Smartbomb
310,1,3318,50,2,511,0,1,0,0,Weapon Upgrades - Rapid Light
310,1,3318,50,2,1245,0,1,0,0,Weapon Upgrades - Rapid Heavy
310,1,3318,50,2,862,0,1,0,0,Weapon Upgrades - Bomb
310,1,3318,50,2,524,0,1,0,0,Weapon Upgrades - Citadel Torp
310,1,3318,50,2,1674,0,1,0,0,Weapon Upgrades - Citadel Cruise
310,1,3318,50,2,506,0,1,0,0,Weapon Upgrades - Cruise
310,1,3318,50,2,510,0,1,0,0,Weapon Upgrades - Heavy
310,1,3318,50,2,771,0,1,0,0,Weapon Upgrades - Heavy Assault
310,1,3318,50,2,507,0,1,0,0,Weapon Upgrades - Rocket
310,1,3318,50,2,508,0,1,0,0,Weapon Upgrades - Torpedo
310,1,3318,50,2,1673,0,1,0,0,Weapon Upgrades - Rapid Torpedo
310,1,3318,50,2,509,0,1,0,0,Weapon Upgrades - Light
# INDUSTRY,,,,,,,,,,
280,1,25544,763,2,737,0,1,10,0,Gas Cloud Harvesting
780,1,16281,73,4,1038,0,1,0,0,Ice Harvesting
885,1,28585,714,1,28583,0,1,8,0,Industrial Reconfiguration
434,1,3386,77,4,1039,0,1,0,0,Mining - Mining Laser
434,1,3386,77,4,2151,0,1,0,0,Mining - Ice Mining Laser
434,1,3386,77,4,1040,0,1,0,0,Mining - Strip Miner
927,1,22578,1082,2,546,0,1,0,0,Mining Upgrades
# LEADERSHIP,,,,,,,,,,
335,1,-20494,265,3,6,0,0,0,32,Armored Warfare - Ship
#,1,-20494,1159,2,329,0,0,0,32,Armored Warfare - Plates
850,1,11569,833,4,1634,0,1,0,0,Armored Warfare Specialist
#,1,24764,,,,0,1,0,0,Fleet Command
309,1,-20495,76,3,6,0,0,0,32,Information Warfare
850,1,3352,833,4,1635,0,1,0,0,Information Warfare Specialist
850,1,3352,1310,4,1635,0,1,0,0,Information Warfare Specialist
850,1,3352,1320,4,1635,0,1,0,0,Information Warfare Specialist
850,1,3352,1321,4,1635,0,1,0,0,Information Warfare Specialist
850,1,3352,1322,4,1635,0,1,0,0,Information Warfare Specialist
850,1,3352,1323,4,1635,0,1,0,0,Information Warfare Specialist
566,1,-3348,564,3,6,0,0,0,32,Leadership
850,1,22552,833,4,1638,0,1,0,0,Mining Director
434,1,-22536,77,4,1039,0,0,0,32,Mining Foreman
434,1,-22536,77,4,1040,0,0,0,32,Mining Foreman
337,1,-3350,263,3,6,0,0,0,32,Siege Warfare - Ship
#,1,-3350,72,2,38,0,0,0,32,Siege Warfare - Extenders
850,1,3351,833,4,1636,0,1,0,0,Siege Warfare Specialist
151,1,-3349,70,3,6,0,0,0,32,Skirmish Warfare
850,1,11572,833,4,1637,0,1,0,0,Skirmish Warfare Specialist
850,1,3354,833,2,316,0,1,0,0,Warfare Link Specialist
850,1,3354,1310,2,316,0,1,0,0,Warfare Link Specialist
850,1,3354,1320,2,316,0,1,0,0,Warfare Link Specialist
850,1,3354,1321,2,316,0,1,0,0,Warfare Link Specialist
850,1,3354,1322,2,316,0,1,0,0,Warfare Link Specialist
850,1,3354,1323,2,316,0,1,0,0,Warfare Link Specialist
#,1,11574,,,,0,1,0,0,Wing Command
# MECHANIC,,,,,,,,,,
1856,1,33078,796,2,329,0,1,0,0,Armor Layering
317,1,32797,6,2,1150,0,1,0,0,Armor Resistance Phasing - Cap Usage
66,1,32797,73,2,1150,0,1,0,0,Armor Resistance Phasing - Duration
1139,1,26253,1138,2,773;1232,0,1,0,0,Armor Rigging
1139,1,26254,1138,2,782,0,1,0,0,Astronautics Rigging
317,1,24568,6,4,1056,0,1,0,0,Capital Remote Armor Repair Systems
317,1,27936,6,4,1063,0,1,0,0,Capital Remote Hull Repair Systems
312,1,21803,73,4,1052,0,1,0,0,Capital Repair Systems
1139,1,26255,1138,2,778,0,1,0,0,Drones Rigging
1139,1,26256,1138,2,786;1233;1234,0,1,0,0,Electronic Superiority Rigging
958,1,22806,984,2,98;326,0,1,0,0,EM Armor Compensation
1139,1,26258,1138,2,775,0,1,0,0,Energy Weapon Rigging
958,1,22807,985,2,98;326,0,1,0,0,Explosive Armor Compensation
335,1,3394,265,3,6,0,1,0,0,Hull Upgrades - Armor HP
#335,1,3394,1159,2,329,0,1,0,0,Hull Upgrades - Armor Plate HP
1139,1,26259,1138,2,776,0,1,0,0,Hybrid Weapon Rigging
#,1,26252,,,,0,1,0,0,Jury Rigging
958,1,22808,986,2,98;326,0,1,0,0,Kinetic Armor Compensation
1139,1,26260,1138,2,779,0,1,0,0,Launcher Rigging
327,1,3392,9,3,6,0,1,0,0,Mechanic
#,1,28880,,,,0,1,0,0,Nanite Interfacing
#,1,28879,,,,0,1,0,0,Nanite Operation
1139,1,26257,1138,2,777,0,1,0,0,Projectile Weapon Rigging
317,1,16069,6,2,325,0,1,0,0,Remote Armor Repair Systems
317,1,27902,6,4,372,0,1,0,0,Remote Hull Repair Systems - Small
317,1,27902,6,4,1061,0,1,0,0,Remote Hull Repair Systems - Medium
317,1,27902,6,4,1062,0,1,0,0,Remote Hull Repair Systems - Large
312,1,3393,73,4,1049;1053,0,1,0,0,Repair Systems - Small
312,1,3393,73,4,1050;1054,0,1,0,0,Repair Systems - Medium
312,1,3393,73,4,1051;1055,0,1,0,0,Repair Systems - Large
1772,1,25863,902,1,25861;30836,0,1,11,0,Salvaging
1139,1,26261,1138,2,774,0,1,0,0,Shield Rigging
885,1,27906,714,1,27951,0,1,8,0,Tactical Logistics Reconfiguration
958,1,22809,987,2,98;326,0,1,0,0,Thermic Armor Compensation
# MISSILE LAUNCHER OPERATION,,,,,,,,,,
293,1,28073,669,2,862,0,1,0,0,Bomb Deployment
292,1,32435,114,2,1019;1678,0,1,0,0,Citadel Cruise Missiles - EM
292,1,32435,116,2,1019;1678,0,1,0,0,Citadel Cruise Missiles - Explosive
292,1,32435,117,2,1019;1678,0,1,0,0,Citadel Cruise Missiles - Kinetic
292,1,32435,118,2,1019;1678,0,1,0,0,Citadel Cruise Missiles - Thermal
292,1,21668,114,2,476;1677,0,1,0,0,Citadel Torpedoes - EM
292,1,21668,116,2,476;1677,0,1,0,0,Citadel Torpedoes - Explosive
292,1,21668,117,2,476;1677,0,1,0,0,Citadel Torpedoes - Kinetic
292,1,21668,118,2,476;1677,0,1,0,0,Citadel Torpedoes - Thermal
293,1,20212,51,5,20212,0,1,0,0,Cruise Missile Specialization
293,1,41410,51,5,41410,0,1,0,0,XL Cruise Missile Specialization
292,1,3326,114,2,386;656;396,0,1,0,0,Cruise Missiles - EM
292,1,3326,116,2,386;656;396,0,1,0,0,Cruise Missiles - Explosive
292,1,3326,117,2,386;656;396,0,1,0,0,Cruise Missiles - Kinetic
292,1,3326,118,2,386;656;396,0,1,0,0,Cruise Missiles - Thermal
547,1,3323,37,2,88;1158,0,1,0,0,Defender Missiles
292,1,3322,114,2,394;395;396,0,1,0,0,FoF Missiles - EM
292,1,3322,116,2,394;395;396,0,1,0,0,FoF Missiles - Explosive
292,1,3322,117,2,394;395;396,0,1,0,0,FoF Missiles - Kinetic
292,1,3322,118,2,394;395;396,0,1,0,0,FoF Missiles - Thermal
848,1,20312,654,2,384,0,1,0,0,Guided Missile Precision - Light
848,1,20312,654,2,385,0,1,0,0,Guided Missile Precision - Heavy
848,1,20312,654,2,386,0,1,0,0,Guided Missile Precision - Cruise
848,1,20312,654,2,387,0,1,0,0,Guided Missile Precision - Rocket
848,1,20312,654,2,772,0,1,0,0,Guided Missile Precision - Heavy Assault
848,1,20312,654,2,89,0,1,0,0,Guided Missile Precision - Torpedo
848,1,20312,654,2,476;1677,0,1,0,0,Guided Missile Precision - Citadel Torpedo
848,1,20312,654,2,1019;1678,0,1,0,0,Guided Missile Precision - Citadel Cruise
848,1,20312,654,2,648,0,1,0,0,Guided Missile Precision - T2 Rocket
848,1,20312,654,2,654,0,1,0,0,Guided Missile Precision - T2 Heavy Assault
848,1,20312,654,2,657,0,1,0,0,Guided Missile Precision - T2 Torpedo
848,1,20312,654,2,656,0,1,0,0,Guided Missile Precision - T2 Cruise
848,1,20312,654,2,655,0,1,0,0,Guided Missile Precision - T2 Heavy
848,1,20312,654,2,653,0,1,0,0,Guided Missile Precision - T2 Light
848,1,20312,654,2,396,0,1,0,0,Guided Missile Precision - FoF Cruise
848,1,20312,654,2,395,0,1,0,0,Guided Missile Precision - FoF Heavy
848,1,20312,654,2,394,0,1,0,0,Guided Missile Precision - FoF Light
293,1,25718,51,5,25718,0,1,0,0,Heavy Assault Missile Specialization
292,1,25719,114,2,772;654,0,1,0,0,Heavy Assault Missiles - EM
292,1,25719,116,2,772;654,0,1,0,0,Heavy Assault Missiles - Explosive
292,1,25719,117,2,772;654,0,1,0,0,Heavy Assault Missiles - Kinetic
292,1,25719,118,2,772;654,0,1,0,0,Heavy Assault Missiles- Thermal
293,1,20211,51,5,20211,0,1,0,0,Heavy Missile Specialization
292,1,3324,114,2,385;655;395,0,1,0,0,Heavy Missiles - EM
292,1,3324,116,2,385;655;395,0,1,0,0,Heavy Missiles - Explosive
292,1,3324,117,2,385;655;395,0,1,0,0,Heavy Missiles - Kinetic
292,1,3324,118,2,385;655;395,0,1,0,0,Heavy Missiles - Thermal
557,1,12441,281,2,654,0,1,0,0,Missile Bombardment - T2 Heavy Assault
557,1,12441,281,2,656,0,1,0,0,Missile Bombardment - T2 Cruise
557,1,12441,281,2,655,0,1,0,0,Missile Bombardment - T2 Heavy
557,1,12441,281,2,653,0,1,0,0,Missile Bombardment - T2 Light
557,1,12441,281,2,648,0,1,0,0,Missile Bombardment - T2 Rocket
557,1,12441,281,2,657,0,1,0,0,Missile Bombardment - T2 Torpedo
557,1,12441,281,2,772,0,1,0,0,Missile Bombardment - Heavy Assault
557,1,12441,281,2,386,0,1,0,0,Missile Bombardment - Cruise
557,1,12441,281,2,385,0,1,0,0,Missile Bombardment - Heavy
557,1,12441,281,2,384,0,1,0,0,Missile Bombardment - Light
557,1,12441,281,2,387,0,1,0,0,Missile Bombardment - Rocket
557,1,12441,281,2,89,0,1,0,0,Missile Bombardment - Torpedo
557,1,12441,281,2,476;1677,0,1,0,0,Missile Bombardment - Citadel Torpedo
557,1,12441,281,2,1019;1678,0,1,0,0,Missile Bombardment - Citadel Cruise
557,1,12441,281,2,88;1158,0,1,0,0,Missile Bombardment - Defender
557,1,12441,281,2,394;395;396,0,1,0,0,Missile Bombardment - FoF
293,1,3319,51,2,511,0,1,0,0,Missile Launcher Operation - Rapid Light
293,1,3319,51,2,1245,0,1,0,0,Missile Launcher Operation - Rapid Heavy
293,1,3319,51,2,524,0,1,0,0,Missile Launcher Operation - Citadel Torp
293,1,3319,51,2,1674,0,1,0,0,Missile Launcher Operation - Citadel Cruise
293,1,3319,51,2,506,0,1,0,0,Missile Launcher Operation - Cruise
293,1,3319,51,2,510,0,1,0,0,Missile Launcher Operation - Heavy
293,1,3319,51,2,771,0,1,0,0,Missile Launcher Operation - Heavy Assault
293,1,3319,51,2,507,0,1,0,0,Missile Launcher Operation - Rocket
293,1,3319,51,2,508,0,1,0,0,Missile Launcher Operation - Torpedo
293,1,3319,51,2,1673,0,1,0,0,Missile Launcher Operation - Rapid Torpedo
293,1,3319,51,2,509,0,1,0,0,Missile Launcher Operation - Light
20,1,12442,37,2,654,0,1,0,0,Missile Projection - T2 Heavy Assault
20,1,12442,37,2,656,0,1,0,0,Missile Projection - T2 Cruise
20,1,12442,37,2,655,0,1,0,0,Missile Projection - T2 Heavy
20,1,12442,37,2,653,0,1,0,0,Missile Projection - T2 Light
20,1,12442,37,2,648,0,1,0,0,Missile Projection - T2 Rocket
20,1,12442,37,2,657,0,1,0,0,Missile Projection - T2 Torpedo
20,1,12442,37,2,772,0,1,0,0,Missile Projection - Heavy Assault
20,1,12442,37,2,386,0,1,0,0,Missile Projection - Cruise
20,1,12442,37,2,385,0,1,0,0,Missile Projection - Heavy
20,1,12442,37,2,384,0,1,0,0,Missile Projection - Light
20,1,12442,37,2,387,0,1,0,0,Missile Projection - Rocket
20,1,12442,37,2,89,0,1,0,0,Missile Projection - Torpedo
20,1,12442,37,2,476;1677,0,1,0,0,Missile Projection - Citadel Torpedo
20,1,12442,37,2,1019;1678,0,1,0,0,Missile Projection - Citadel Cruise
20,1,12442,37,2,88;1158,0,1,0,0,Missile Projection - Defender
20,1,12442,37,2,394;395;396,0,1,0,0,Missile Projection - FoF
293,1,21071,51,2,511,0,1,0,0,Rapid Launch - Rapid Light
